epc,rssi,timestamp,reader,antenna
18412345,-50,2026-04-18 22:22:30.532,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.561,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.581,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.608,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.628,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.658,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.677,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.713,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.735,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.759,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.781,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.808,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.829,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.859,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.877,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.913,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:30.944,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:30.963,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:30.991,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:31.015,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:31.041,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:31.060,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:31.087,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:31.115,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:31.145,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:31.164,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:31.190,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:31.215,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:31.241,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:31.262,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:31.291,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:31.319,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:31.348,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:31.368,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:31.395,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:31.415,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:31.444,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:31.466,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.493,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:31.520,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:31.547,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.569,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.595,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.615,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.644,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.664,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.691,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.724,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:31.750,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:31.767,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.799,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:31.818,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:31.843,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:31.865,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:31.894,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:31.911,192.168.1.10,1,CP
